year_of_exercise,product_name,product_brand,material_id_code,material_description,business_division,site
2024,Mendovia,Mendovia,MAT-20100,Recombinant Protein Concentrate,Pharmaceuticals,Eastgate Site
2025,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Vaccines,Rivermill Site
2026,Vezanta,Vezanta,MAT-20033,Paracetamol API,Pharmaceuticals,Fenwick Site
2024,Renovex,Renovex,MAT-20021,Inbound Road Freight - Pallet,Specialty Care,Northfield Site
2025,Wintrelis,Wintrelis,MAT-20012,Folding Carton,Specialty Care,Rivermill Site
2024,Zolvarin,Zolvarin,MAT-20091,Cold Storage - Warehouse Pallet Slot,Vaccines,Bridgeholm Site
2025,Mendovia,Mendovia,MAT-20020,Contract Packaging Service,Pharmaceuticals,Kingsley Site
2026,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Specialty Care,Eastgate Site
2026,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Specialty Care,Bridgeholm Site
2024,Renovex,Renovex,MAT-20045,Corrugated Shipping Box,Consumer Healthcare,Solaris Park Site
2026,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Vaccines,Rivermill Site
2025,Sentrivax,Sentrivax,MAT-20021,Inbound Road Freight - Pallet,Specialty Care,Eastgate Site
2025,Renovex,Renovex,MAT-20059,Stainless Steel Reactor Component,Consumer Healthcare,Northfield Site
2024,Wintrelis,Wintrelis,MAT-20052,Aseptic Fill & Finish Service,Vaccines,Eastgate Site
2025,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Pharmaceuticals,Northfield Site
2026,Florivex,Florivex,MAT-20092,Stainless Steel Reactor Component,Consumer Healthcare,Bridgeholm Site
2026,Estrivon,Estrivon,MAT-20103,Enteric Coating Blend,Vaccines,Eastgate Site
2025,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Consumer Healthcare,Meadowbrook Site
2025,Quilava,Quilava,MAT-20075,PVC Blister Pack,Vaccines,Bridgeholm Site
2024,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Specialty Care,Fenwick Site
2026,Torvexa,Torvexa,MAT-20106,Water for Injection,Pharmaceuticals,Eastgate Site
2026,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Vaccines,Northfield Site
2024,Vezanta,Vezanta,MAT-20113,Pressure-sensitive Label,Consumer Healthcare,Eastgate Site
2024,Hemazol,Hemazol,MAT-20109,Prefilled Syringe 2.25ml,Specialty Care,Ashford Site
2024,Mendovia,Mendovia,MAT-20070,Film Coating Powder,Vaccines,Fenwick Site
2024,Xantivo,Xantivo,MAT-20148,Stretch Pallet Wrap,Vaccines,Bridgeholm Site
2025,Calmera,Calmera,MAT-20079,Patient Information Leaflet,Pharmaceuticals,Clearwater Site
2025,Immunara,Immunara,MAT-20128,Lab Reagent Kit,Pharmaceuticals,Northfield Site
2026,Mendovia,Mendovia,MAT-20093,Filling Line Spare Parts,Vaccines,Ashford Site
2025,Pulmatrix,Pulmatrix,MAT-20129,Pipette Tips (case),Specialty Care,Kingsley Site
2026,Dermafyx,Dermafyx,MAT-20085,Aseptic Fill & Finish Service,Vaccines,Rivermill Site
2024,Wintrelis,Wintrelis,MAT-20002,Synthetic Peptide Concentrate,Pharmaceuticals,Clearwater Site
2026,Wintrelis,Wintrelis,MAT-20012,Folding Carton,Specialty Care,Meadowbrook Site
2026,Norvelin,Norvelin,MAT-20040,Water for Injection,Vaccines,Kingsley Site
2026,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Pharmaceuticals,Northfield Site
2024,Immunara,Immunara,MAT-20045,Corrugated Shipping Box,Consumer Healthcare,Rivermill Site
2025,Ulvatrix,Ulvatrix,MAT-20072,Ethanol (Pharma Grade),Vaccines,Eastgate Site
2024,Torvexa,Torvexa,MAT-20106,Water for Injection,Pharmaceuticals,Clearwater Site
2024,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Pharmaceuticals,Fenwick Site
2026,Norvelin,Norvelin,MAT-20144,Folding Carton,Specialty Care,Clearwater Site
2024,Pulmatrix,Pulmatrix,MAT-20099,Ibuprofen API,Vaccines,Clearwater Site
2024,Estrivon,Estrivon,MAT-20017,Fermentation Batch Service,Specialty Care,Fenwick Site
2024,Mendovia,Mendovia,MAT-20092,Stainless Steel Reactor Component,Consumer Healthcare,Meadowbrook Site
2026,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Specialty Care,Clearwater Site
2024,Norvelin,Norvelin,MAT-20008,Glass Vial 2ml,Consumer Healthcare,Kingsley Site
2024,Zolvarin,Zolvarin,MAT-20086,Contract Packaging Service,Specialty Care,Fenwick Site
2025,Advelra,Advelra,MAT-20146,Pressure-sensitive Label,Vaccines,Ashford Site
2024,Glucovex,Glucovex,MAT-20107,Freeze-dried Vaccine Vial,Specialty Care,Eastgate Site
2024,Ostreva,Ostreva,MAT-20083,Fermentation Batch Service,Consumer Healthcare,Eastgate Site
2024,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Vaccines,Fenwick Site
2026,Vezanta,Vezanta,MAT-20012,Folding Carton,Consumer Healthcare,Eastgate Site
2026,Dermafyx,Dermafyx,MAT-20066,Ibuprofen API,Specialty Care,Kingsley Site
2026,Wintrelis,Wintrelis,MAT-20012,Folding Carton,Specialty Care,Eastgate Site
2024,Vezanta,Vezanta,MAT-20140,Freeze-dried Vaccine Vial,Pharmaceuticals,Kingsley Site
2026,Torvexa,Torvexa,MAT-20081,Corrugated Shipping Case,Consumer Healthcare,Solaris Park Site
2026,Glucovex,Glucovex,MAT-20135,Microcrystalline Cellulose,Vaccines,Eastgate Site
2025,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Vaccines,Fenwick Site
2024,Wintrelis,Wintrelis,MAT-20055,Inbound Air Freight - Temperature Controlled,Vaccines,Solaris Park Site
2025,Hemazol,Hemazol,MAT-20114,Reusable Shipping Tote,Pharmaceuticals,Solaris Park Site
2024,Calmera,Calmera,MAT-20079,Patient Information Leaflet,Specialty Care,Clearwater Site
2025,Advelra,Advelra,MAT-20105,Isopropyl Alcohol,Consumer Healthcare,Ashford Site
2026,Zolvarin,Zolvarin,MAT-20091,Cold Storage - Warehouse Pallet Slot,Consumer Healthcare,Ashford Site
2025,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Consumer Healthcare,Fenwick Site
2025,Glucovex,Glucovex,MAT-20107,Freeze-dried Vaccine Vial,Specialty Care,Fenwick Site
2025,Torvexa,Torvexa,MAT-20012,Folding Carton,Specialty Care,Clearwater Site
2026,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Pharmaceuticals,Clearwater Site
2025,Glucovex,Glucovex,MAT-20107,Freeze-dried Vaccine Vial,Pharmaceuticals,Eastgate Site
2025,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Pharmaceuticals,Bridgeholm Site
2024,Xantivo,Xantivo,MAT-20032,Clinical Trial Kit,Consumer Healthcare,Bridgeholm Site
2025,Calmera,Calmera,MAT-20036,Microcrystalline Cellulose,Specialty Care,Kingsley Site
2025,Estrivon,Estrivon,MAT-20056,Inbound Ocean Freight - Container,Specialty Care,Clearwater Site
2025,Kaldrin,Kaldrin,MAT-20097,Comparator Drug Batch,Pharmaceuticals,Solaris Park Site
2025,Advelra,Advelra,MAT-20105,Isopropyl Alcohol,Vaccines,Solaris Park Site
2026,Mendovia,Mendovia,MAT-20093,Filling Line Spare Parts,Pharmaceuticals,Meadowbrook Site
2025,Florivex,Florivex,MAT-20054,Inbound Road Freight - Pallet,Consumer Healthcare,Northfield Site
2025,Wintrelis,Wintrelis,MAT-20052,Aseptic Fill & Finish Service,Vaccines,Solaris Park Site
2025,Florivex,Florivex,MAT-20054,Inbound Road Freight - Pallet,Consumer Healthcare,Fenwick Site
2024,Kaldrin,Kaldrin,MAT-20138,Isopropyl Alcohol,Pharmaceuticals,Ashford Site
2025,Torvexa,Torvexa,MAT-20106,Water for Injection,Specialty Care,Solaris Park Site
2026,Dermafyx,Dermafyx,MAT-20066,Ibuprofen API,Pharmaceuticals,Bridgeholm Site
2026,Vezanta,Vezanta,MAT-20048,Reusable Shipping Tote,Specialty Care,Bridgeholm Site
2024,Mendovia,Mendovia,MAT-20012,Folding Carton,Pharmaceuticals,Rivermill Site
2026,Mendovia,Mendovia,MAT-20020,Contract Packaging Service,Specialty Care,Rivermill Site
2025,Sentrivax,Sentrivax,MAT-20112,Patient Information Leaflet,Vaccines,Solaris Park Site
2026,Mendovia,Mendovia,MAT-20092,Stainless Steel Reactor Component,Vaccines,Clearwater Site
2025,Renovex,Renovex,MAT-20094,HPLC Consumable Kit,Consumer Healthcare,Ashford Site
2024,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Vaccines,Eastgate Site
2026,Vezanta,Vezanta,MAT-20113,Pressure-sensitive Label,Specialty Care,Fenwick Site
2024,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Specialty Care,Ashford Site
2024,Pulmatrix,Pulmatrix,MAT-20099,Ibuprofen API,Specialty Care,Fenwick Site
2024,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Specialty Care,Northfield Site
2025,Dermafyx,Dermafyx,MAT-20066,Ibuprofen API,Pharmaceuticals,Fenwick Site
2025,Estrivon,Estrivon,MAT-20017,Fermentation Batch Service,Pharmaceuticals,Northfield Site
2025,Mendovia,Mendovia,MAT-20020,Contract Packaging Service,Pharmaceuticals,Northfield Site
2024,Advelra,Advelra,MAT-20054,Inbound Road Freight - Pallet,Vaccines,Eastgate Site
2025,Calmera,Calmera,MAT-20036,Microcrystalline Cellulose,Consumer Healthcare,Ashford Site
2024,Wintrelis,Wintrelis,MAT-20012,Folding Carton,Specialty Care,Northfield Site
2025,Ulvatrix,Ulvatrix,MAT-20112,Patient Information Leaflet,Pharmaceuticals,Solaris Park Site
2025,Zolvarin,Zolvarin,MAT-20024,Cold Chain Transport - 2-8C,Specialty Care,Eastgate Site
2024,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Vaccines,Clearwater Site
2025,Ulvatrix,Ulvatrix,MAT-20008,Glass Vial 2ml,Vaccines,Bridgeholm Site
2025,Zolvarin,Zolvarin,MAT-20056,Inbound Ocean Freight - Container,Pharmaceuticals,Kingsley Site
2024,Vezanta,Vezanta,MAT-20059,Stainless Steel Reactor Component,Specialty Care,Solaris Park Site
2024,Mendovia,Mendovia,MAT-20114,Reusable Shipping Tote,Consumer Healthcare,Solaris Park Site
2024,Hemazol,Hemazol,MAT-20109,Prefilled Syringe 2.25ml,Vaccines,Ashford Site
2026,Hemazol,Hemazol,MAT-20114,Reusable Shipping Tote,Vaccines,Northfield Site
2025,Kaldrin,Kaldrin,MAT-20103,Enteric Coating Blend,Vaccines,Fenwick Site
2024,Hemazol,Hemazol,MAT-20114,Reusable Shipping Tote,Specialty Care,Clearwater Site
2026,Calmera,Calmera,MAT-20079,Patient Information Leaflet,Pharmaceuticals,Ashford Site
2024,Norvelin,Norvelin,MAT-20040,Water for Injection,Specialty Care,Northfield Site
2024,Renovex,Renovex,MAT-20080,Pressure-sensitive Label,Specialty Care,Rivermill Site
2026,Zolvarin,Zolvarin,MAT-20056,Inbound Ocean Freight - Container,Vaccines,Clearwater Site
2024,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Specialty Care,Rivermill Site
2025,Estrivon,Estrivon,MAT-20143,HDPE Bottle 250ml,Consumer Healthcare,Bridgeholm Site
2026,Hemazol,Hemazol,MAT-20109,Prefilled Syringe 2.25ml,Pharmaceuticals,Ashford Site
2026,Wintrelis,Wintrelis,MAT-20077,HDPE Bottle 100ml,Consumer Healthcare,Bridgeholm Site
2025,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Vaccines,Fenwick Site
2025,Pulmatrix,Pulmatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Vaccines,Solaris Park Site
2026,Glucovex,Glucovex,MAT-20107,Freeze-dried Vaccine Vial,Vaccines,Eastgate Site
2026,Xantivo,Xantivo,MAT-20148,Stretch Pallet Wrap,Pharmaceuticals,Kingsley Site
2025,Kaldrin,Kaldrin,MAT-20097,Comparator Drug Batch,Consumer Healthcare,Bridgeholm Site
2026,Wintrelis,Wintrelis,MAT-20002,Synthetic Peptide Concentrate,Vaccines,Eastgate Site
2025,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Pharmaceuticals,Clearwater Site
2026,Florivex,Florivex,MAT-20112,Patient Information Leaflet,Vaccines,Fenwick Site
2024,Vezanta,Vezanta,MAT-20090,Cold Chain Transport - 2-8C,Vaccines,Ashford Site
2024,Hemazol,Hemazol,MAT-20009,Alu-Alu Blister Pack,Pharmaceuticals,Meadowbrook Site
2026,Norvelin,Norvelin,MAT-20138,Isopropyl Alcohol,Specialty Care,Meadowbrook Site
2024,Dermafyx,Dermafyx,MAT-20066,Ibuprofen API,Specialty Care,Fenwick Site
2026,Hemazol,Hemazol,MAT-20049,Stretch Pallet Wrap,Pharmaceuticals,Bridgeholm Site
2024,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Pharmaceuticals,Solaris Park Site
2025,Zolvarin,Zolvarin,MAT-20056,Inbound Ocean Freight - Container,Specialty Care,Northfield Site
2025,Renovex,Renovex,MAT-20080,Pressure-sensitive Label,Vaccines,Kingsley Site
2025,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Specialty Care,Rivermill Site
2026,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Specialty Care,Northfield Site
2025,Mendovia,Mendovia,MAT-20092,Stainless Steel Reactor Component,Pharmaceuticals,Eastgate Site
2026,Vezanta,Vezanta,MAT-20048,Reusable Shipping Tote,Consumer Healthcare,Rivermill Site
2026,Ostreva,Ostreva,MAT-20010,Prefilled Syringe 1ml,Pharmaceuticals,Rivermill Site
2026,Torvexa,Torvexa,MAT-20020,Contract Packaging Service,Consumer Healthcare,Clearwater Site
2024,Immunara,Immunara,MAT-20077,HDPE Bottle 100ml,Pharmaceuticals,Kingsley Site
2025,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Consumer Healthcare,Ashford Site
2025,Sentrivax,Sentrivax,MAT-20112,Patient Information Leaflet,Vaccines,Northfield Site
2024,Quilava,Quilava,MAT-20075,PVC Blister Pack,Pharmaceuticals,Meadowbrook Site
2025,Florivex,Florivex,MAT-20092,Stainless Steel Reactor Component,Pharmaceuticals,Rivermill Site
2026,Ulvatrix,Ulvatrix,MAT-20011,HDPE Bottle 100ml,Pharmaceuticals,Eastgate Site
2026,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Vaccines,Meadowbrook Site
2024,Calmera,Calmera,MAT-20018,Custom Synthesis Batch,Vaccines,Clearwater Site
2025,Ulvatrix,Ulvatrix,MAT-20011,HDPE Bottle 100ml,Specialty Care,Clearwater Site
2026,Brenzolix,Brenzolix,MAT-20105,Isopropyl Alcohol,Specialty Care,Solaris Park Site
2024,Calmera,Calmera,MAT-20137,Methylparaben,Specialty Care,Ashford Site
2024,Hemazol,Hemazol,MAT-20109,Prefilled Syringe 2.25ml,Vaccines,Ashford Site
2025,Vezanta,Vezanta,MAT-20113,Pressure-sensitive Label,Specialty Care,Fenwick Site
2026,Xantivo,Xantivo,MAT-20109,Prefilled Syringe 2.25ml,Specialty Care,Bridgeholm Site
2025,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Vaccines,Kingsley Site
2026,Xantivo,Xantivo,MAT-20089,Inbound Ocean Freight - Container,Vaccines,Rivermill Site
2024,Ulvatrix,Ulvatrix,MAT-20072,Ethanol (Pharma Grade),Consumer Healthcare,Meadowbrook Site
2024,Glucovex,Glucovex,MAT-20103,Enteric Coating Blend,Consumer Healthcare,Eastgate Site
2024,Hemazol,Hemazol,MAT-20109,Prefilled Syringe 2.25ml,Pharmaceuticals,Eastgate Site
2026,Dermafyx,Dermafyx,MAT-20066,Ibuprofen API,Consumer Healthcare,Northfield Site
2025,Zolvarin,Zolvarin,MAT-20088,Inbound Air Freight - Temperature Controlled,Specialty Care,Meadowbrook Site
2026,Kaldrin,Kaldrin,MAT-20138,Isopropyl Alcohol,Specialty Care,Meadowbrook Site
2024,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Pharmaceuticals,Eastgate Site
2026,Ostreva,Ostreva,MAT-20126,Filling Line Spare Parts,Specialty Care,Meadowbrook Site
2026,Kaldrin,Kaldrin,MAT-20138,Isopropyl Alcohol,Specialty Care,Ashford Site
2025,Norvelin,Norvelin,MAT-20002,Synthetic Peptide Concentrate,Specialty Care,Kingsley Site
2025,Pulmatrix,Pulmatrix,MAT-20059,Stainless Steel Reactor Component,Specialty Care,Solaris Park Site
2025,Norvelin,Norvelin,MAT-20046,Patient Information Leaflet,Pharmaceuticals,Meadowbrook Site
2024,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Specialty Care,Solaris Park Site
2025,Mendovia,Mendovia,MAT-20100,Recombinant Protein Concentrate,Specialty Care,Solaris Park Site
2026,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Consumer Healthcare,Kingsley Site
2026,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Specialty Care,Ashford Site
2024,Calmera,Calmera,MAT-20018,Custom Synthesis Batch,Consumer Healthcare,Eastgate Site
2026,Torvexa,Torvexa,MAT-20081,Corrugated Shipping Case,Vaccines,Fenwick Site
2024,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Consumer Healthcare,Kingsley Site
2026,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Vaccines,Fenwick Site
2024,Mendovia,Mendovia,MAT-20012,Folding Carton,Vaccines,Ashford Site
2026,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Specialty Care,Meadowbrook Site
2024,Hemazol,Hemazol,MAT-20140,Freeze-dried Vaccine Vial,Consumer Healthcare,Bridgeholm Site
2026,Ulvatrix,Ulvatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Consumer Healthcare,Kingsley Site
2025,Norvelin,Norvelin,MAT-20144,Folding Carton,Specialty Care,Clearwater Site
2025,Hemazol,Hemazol,MAT-20140,Freeze-dried Vaccine Vial,Consumer Healthcare,Meadowbrook Site
2024,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Consumer Healthcare,Rivermill Site
2026,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Specialty Care,Kingsley Site
2026,Ulvatrix,Ulvatrix,MAT-20112,Patient Information Leaflet,Vaccines,Meadowbrook Site
2026,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Consumer Healthcare,Solaris Park Site
2025,Torvexa,Torvexa,MAT-20081,Corrugated Shipping Case,Consumer Healthcare,Northfield Site
2026,Renovex,Renovex,MAT-20021,Inbound Road Freight - Pallet,Vaccines,Eastgate Site
2024,Hemazol,Hemazol,MAT-20140,Freeze-dried Vaccine Vial,Specialty Care,Eastgate Site
2026,Ulvatrix,Ulvatrix,MAT-20011,HDPE Bottle 100ml,Vaccines,Kingsley Site
2026,Wintrelis,Wintrelis,MAT-20052,Aseptic Fill & Finish Service,Consumer Healthcare,Rivermill Site
2024,Hemazol,Hemazol,MAT-20009,Alu-Alu Blister Pack,Pharmaceuticals,Kingsley Site
2024,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Vaccines,Rivermill Site
2024,Quilava,Quilava,MAT-20099,Ibuprofen API,Consumer Healthcare,Meadowbrook Site
2025,Renovex,Renovex,MAT-20103,Enteric Coating Blend,Consumer Healthcare,Clearwater Site
2025,Mendovia,Mendovia,MAT-20090,Cold Chain Transport - 2-8C,Vaccines,Eastgate Site
2024,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Pharmaceuticals,Meadowbrook Site
2026,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Consumer Healthcare,Clearwater Site
2024,Calmera,Calmera,MAT-20018,Custom Synthesis Batch,Vaccines,Kingsley Site
2024,Brenzolix,Brenzolix,MAT-20071,Sodium Benzoate,Consumer Healthcare,Rivermill Site
2024,Estrivon,Estrivon,MAT-20103,Enteric Coating Blend,Specialty Care,Fenwick Site
2025,Norvelin,Norvelin,MAT-20002,Synthetic Peptide Concentrate,Specialty Care,Solaris Park Site
2026,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Specialty Care,Northfield Site
2025,Sentrivax,Sentrivax,MAT-20000,Paracetamol API,Vaccines,Rivermill Site
2026,Immunara,Immunara,MAT-20049,Stretch Pallet Wrap,Consumer Healthcare,Solaris Park Site
2026,Immunara,Immunara,MAT-20049,Stretch Pallet Wrap,Specialty Care,Clearwater Site
2024,Hemazol,Hemazol,MAT-20009,Alu-Alu Blister Pack,Vaccines,Bridgeholm Site
2025,Sentrivax,Sentrivax,MAT-20045,Corrugated Shipping Box,Vaccines,Meadowbrook Site
2024,Florivex,Florivex,MAT-20065,Clinical Trial Kit,Vaccines,Eastgate Site
2024,Brenzolix,Brenzolix,MAT-20071,Sodium Benzoate,Consumer Healthcare,Ashford Site
2024,Kaldrin,Kaldrin,MAT-20076,Prefilled Syringe 1ml,Specialty Care,Solaris Park Site
2024,Vezanta,Vezanta,MAT-20113,Pressure-sensitive Label,Consumer Healthcare,Solaris Park Site
2025,Wintrelis,Wintrelis,MAT-20077,HDPE Bottle 100ml,Specialty Care,Bridgeholm Site
2024,Advelra,Advelra,MAT-20088,Inbound Air Freight - Temperature Controlled,Consumer Healthcare,Eastgate Site
2025,Torvexa,Torvexa,MAT-20081,Corrugated Shipping Case,Pharmaceuticals,Eastgate Site
2024,Vezanta,Vezanta,MAT-20093,Filling Line Spare Parts,Specialty Care,Meadowbrook Site
2025,Calmera,Calmera,MAT-20051,Custom Synthesis Batch,Vaccines,Northfield Site
2024,Kaldrin,Kaldrin,MAT-20076,Prefilled Syringe 1ml,Pharmaceuticals,Eastgate Site
2026,Hemazol,Hemazol,MAT-20140,Freeze-dried Vaccine Vial,Pharmaceuticals,Eastgate Site
2026,Florivex,Florivex,MAT-20134,Synthetic Peptide Concentrate,Consumer Healthcare,Clearwater Site
2025,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Specialty Care,Fenwick Site
2024,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Vaccines,Eastgate Site
2024,Renovex,Renovex,MAT-20103,Enteric Coating Blend,Pharmaceuticals,Eastgate Site
2024,Advelra,Advelra,MAT-20142,Prefilled Syringe 1ml,Specialty Care,Kingsley Site
2024,Dermafyx,Dermafyx,MAT-20085,Aseptic Fill & Finish Service,Pharmaceuticals,Solaris Park Site
2024,Advelra,Advelra,MAT-20119,Contract Packaging Service,Consumer Healthcare,Clearwater Site
2025,Pulmatrix,Pulmatrix,MAT-20059,Stainless Steel Reactor Component,Pharmaceuticals,Clearwater Site
2025,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Specialty Care,Clearwater Site
2025,Estrivon,Estrivon,MAT-20017,Fermentation Batch Service,Consumer Healthcare,Fenwick Site
2026,Hemazol,Hemazol,MAT-20111,Corrugated Shipping Box,Vaccines,Meadowbrook Site
2025,Vezanta,Vezanta,MAT-20118,Aseptic Fill & Finish Service,Pharmaceuticals,Rivermill Site
2024,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Consumer Healthcare,Ashford Site
2024,Florivex,Florivex,MAT-20054,Inbound Road Freight - Pallet,Vaccines,Meadowbrook Site
2024,Xantivo,Xantivo,MAT-20148,Stretch Pallet Wrap,Vaccines,Bridgeholm Site
2025,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Rivermill Site
2026,Pulmatrix,Pulmatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Vaccines,Eastgate Site
2024,Kaldrin,Kaldrin,MAT-20076,Prefilled Syringe 1ml,Pharmaceuticals,Ashford Site
2025,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Specialty Care,Rivermill Site
2026,Quilava,Quilava,MAT-20099,Ibuprofen API,Consumer Healthcare,Meadowbrook Site
2024,Ostreva,Ostreva,MAT-20079,Patient Information Leaflet,Vaccines,Meadowbrook Site
2025,Brenzolix,Brenzolix,MAT-20120,Inbound Road Freight - Pallet,Vaccines,Bridgeholm Site
2024,Pulmatrix,Pulmatrix,MAT-20024,Cold Chain Transport - 2-8C,Vaccines,Fenwick Site
2024,Renovex,Renovex,MAT-20006,Ethanol (Pharma Grade),Vaccines,Fenwick Site
