ghg_category,source_system,data_source,company_code,indicator_name,business_division,year,site_country,site_name,parent_supplier_name,supplier_name,supplier_number,supplier_address,supplier_city,supplier_country,category_level_1_enriched,category_level_2_enriched,category_level_3_enriched,category_level_4_enriched,co2_factor,co2_factor_final,co2_factor_name_final,co2_factor_name_supplier_submissions,gplt,gplt1,gplt2,material,material_code,co2e_mt,tonnage,uom,quantity_corrected,invoice_quantity
Category 1 - Purchased Goods and Services,Coupa,Coupa,CC-150,Folding Carton,Consumer Healthcare,2025,Poland,Eastgate Site,Meridian Industries plc,Cascade Materials Ltd,SUP-10030,248 Harbor Ave,Riverton,Poland,Packaging Materials,Secondary Packaging,Cartons,Cartons - Grade Premium,726.3135,726.3135,Folding Carton EF - PharmaPak Labs,Folding Carton Supplier Submission,Indirect Materials,Lab Supplies,Reagents,Folding Carton,MAT-20144,243599.7374,335.392,unit,358943.62,304972.7
Category 4 - Upstream Transportation and Distribution,S/4HANA Procurement,S/4HANA Procurement,CC-154,Folding Carton,Consumer Healthcare,2026,Ireland,Fenwick Site,Meridian Industries plc,Cascade Materials Ltd,SUP-10030,977 Commerce Rd,Riverton,Poland,Packaging Materials,Secondary Packaging,Cartons,Cartons - Grade Premium,726.3135,726.3135,Folding Carton EF - PharmaPak Labs,Folding Carton Supplier Submission,Indirect Materials,Lab Supplies,Reagents,Folding Carton,MAT-20144,237788.5031,327.391,litre,357418.66,329049.81
Category 12 - End of Life Treatment of Sold Products,S/4HANA Procurement,SAP Ariba,CC-108,Patient Information Leaflet,Pharmaceuticals,2025,Ireland,Meadowbrook Site,Quantum Holdings,Ferrolux Manufacturing Co.,SUP-10008,599 Harbor Ave,Harborview,China,Packaging Materials,Secondary Packaging,Leaflets,Leaflets - Grade Std,2.3022,2.3022,Leaflets - Database Default EF,Patient Information Leaflet Supplier Submission,Logistics,Freight,Air,Patient Information Leaflet,MAT-20046,531.2833,230.772,tonne,229221.91,209394.17
Category 12 - End of Life Treatment of Sold Products,S/4HANA Procurement,S/4HANA Procurement,CC-194,Patient Information Leaflet,Specialty Care,2026,India,Rivermill Site,Quantum Holdings,Ferrolux Manufacturing Co.,SUP-10008,89 Industrial Way,Harborview,China,Packaging Materials,Secondary Packaging,Leaflets,Leaflets - Grade Std,2.3022,2.3022,Leaflets - Database Default EF,Patient Information Leaflet Supplier Submission,Logistics,Freight,Air,Patient Information Leaflet,MAT-20046,478.5836,207.881,unit,218914.63,212038.91
Category 4 - Upstream Transportation and Distribution,Coupa,Coupa,CC-154,Aseptic Fill & Finish Service,Pharmaceuticals,2025,Poland,Clearwater Site,NovaChem Holdings,Everline Glass Works,SUP-10032,524 Factory Lane,Oakhaven,Ireland,Contract Manufacturing,Drug Product CMO,Fill & Finish,Fill & Finish - Grade Std,0.0708,0.0708,Spend EF Everline Glass Works v1,Aseptic Fill & Finish Service Supplier Submission,Indirect Materials,Lab Supplies,Reagents,Aseptic Fill & Finish Service,MAT-20052,175.0494,,,,
Category 4 - Upstream Transportation and Distribution,S/4HANA Procurement,Coupa,CC-193,Aseptic Fill & Finish Service,Specialty Care,2026,Switzerland,Clearwater Site,NovaChem Holdings,Everline Glass Works,SUP-10032,561 Commerce Rd,Oakhaven,Ireland,Contract Manufacturing,Drug Product CMO,Fill & Finish,Fill & Finish - Grade Std,0.0708,0.0708,Spend EF Everline Glass Works v1,Aseptic Fill & Finish Service Supplier Submission,Indirect Materials,Lab Supplies,Reagents,Aseptic Fill & Finish Service,MAT-20052,212.2439,,,,
Category 2 - Capital Goods,S/4HANA Procurement,SAP Ariba,CC-188,Ethanol (Pharma Grade),Vaccines,2025,United Kingdom,Eastgate Site,NovaChem Holdings,NovaChem Industries,SUP-10039,589 Commerce Rd,Oakhaven,Ireland,Raw Materials,Solvents,Organic Solvents,Organic Solvents - Grade Premium,426.0004,426.0004,Ethanol (Pharma Grade) EF - Cascade Materials Ltd,Ethanol (Pharma Grade) Supplier Submission,Direct Materials,APIs & Actives,API - Small Molecule,Ethanol (Pharma Grade),MAT-20072,142509.0618,334.528,tonne,305611.36,344022.16
Category 4 - Upstream Transportation and Distribution,Coupa,S/4HANA Procurement,CC-130,Ethanol (Pharma Grade),Specialty Care,2026,Belgium,Eastgate Site,NovaChem Holdings,NovaChem Industries,SUP-10039,69 Harbor Ave,Oakhaven,Ireland,Raw Materials,Solvents,Organic Solvents,Organic Solvents - Grade Premium,426.0004,426.0004,Ethanol (Pharma Grade) EF - Cascade Materials Ltd,Ethanol (Pharma Grade) Supplier Submission,Direct Materials,APIs & Actives,API - Small Molecule,Ethanol (Pharma Grade),MAT-20072,149209.1961,350.256,kg,316445.72,335249.12
Category 2 - Capital Goods,SAP Ariba,S/4HANA Procurement,CC-175,Contract Packaging Service,Pharmaceuticals,2025,United States,Ashford Site,Sterling Industries,Cascade Excipients Ltd,SUP-10022,751 Harbor Ave,Riverton,Germany,Contract Manufacturing,Drug Product CMO,Packaging Services,Packaging Services - Grade B,1.0376,1.0376,Spend EF Cascade Excipients Ltd v4,Contract Packaging Service Supplier Submission,Direct Materials,Packaging,Primary Pack,Contract Packaging Service,MAT-20053,38.3208,,,,
Category 5 - Waste Generated in Operations,Coupa,Coupa,CC-116,Contract Packaging Service,Pharmaceuticals,2026,Ireland,Fenwick Site,Sterling Industries,Cascade Excipients Ltd,SUP-10022,621 Harbor Ave,Riverton,Germany,Contract Manufacturing,Drug Product CMO,Packaging Services,Packaging Services - Grade B,1.0376,1.0376,Spend EF Cascade Excipients Ltd v4,Contract Packaging Service Supplier Submission,Direct Materials,Packaging,Primary Pack,Contract Packaging Service,MAT-20053,35.9619,,,,
Category 4 - Upstream Transportation and Distribution,SAP Ariba,S/4HANA Procurement,CC-195,HPLC Consumable Kit,Specialty Care,2025,Switzerland,Meadowbrook Site,Cascade Polymer Group,Solara International,SUP-10018,948 Factory Lane,Stonegate,Germany,Capital Equipment,Lab Equipment,Analytical Instruments,Analytical Instruments - Grade Std,263.6356,263.6356,HPLC Consumable Kit EF - Trueform Polymer Group,HPLC Consumable Kit Supplier Submission,Direct Materials,Packaging,Secondary Pack,HPLC Consumable Kit,MAT-20094,2461.0383,9.335,tonne,8822.81,9299.25
Category 4 - Upstream Transportation and Distribution,SAP Ariba,S/4HANA Procurement,CC-186,HPLC Consumable Kit,Vaccines,2026,United Kingdom,Eastgate Site,Cascade Polymer Group,Solara International,SUP-10018,364 Harbor Ave,Stonegate,Germany,Capital Equipment,Lab Equipment,Analytical Instruments,Analytical Instruments - Grade Std,263.6356,263.6356,HPLC Consumable Kit EF - Trueform Polymer Group,HPLC Consumable Kit Supplier Submission,Direct Materials,Packaging,Secondary Pack,HPLC Consumable Kit,MAT-20094,2487.9292,9.437,litre,10322.9,8877.93
Category 12 - End of Life Treatment of Sold Products,Coupa,S/4HANA Procurement,CC-121,Corrugated Shipping Box,Pharmaceuticals,2025,France,Bridgeholm Site,NovaChem Holdings,Solara Manufacturing Co.,SUP-10017,617 Harbor Ave,Riverton,Ireland,Packaging Materials,Secondary Packaging,Cartons,Cartons - Grade B,1.0989,1.0989,Spend EF Solara Manufacturing Co. v5,Corrugated Shipping Box Supplier Submission,Logistics,Freight,Air,Corrugated Shipping Box,MAT-20111,234.9642,,,,
Category 12 - End of Life Treatment of Sold Products,S/4HANA Procurement,SAP Ariba,CC-173,Corrugated Shipping Box,Consumer Healthcare,2026,Singapore,Rivermill Site,NovaChem Holdings,Solara Manufacturing Co.,SUP-10017,939 Commerce Rd,Riverton,Ireland,Packaging Materials,Secondary Packaging,Cartons,Cartons - Grade B,1.0989,1.0989,Spend EF Solara Manufacturing Co. v5,Corrugated Shipping Box Supplier Submission,Logistics,Freight,Air,Corrugated Shipping Box,MAT-20111,182.9034,,,,
Category 4 - Upstream Transportation and Distribution,S/4HANA Procurement,SAP Ariba,CC-127,Paracetamol API,Vaccines,2025,Germany,Kingsley Site,Pinnacle Chemicals plc,Quantum Excipients Ltd,SUP-10035,226 Harbor Ave,Stonegate,Switzerland,Raw Materials,Active Pharmaceutical Ingredients,Small Molecule API,Small Molecule API - Grade Premium,0.4797,0.4797,Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),Paracetamol API Supplier Submission,Logistics,Freight,Road,Paracetamol API,MAT-20132,316.0374,,,,
Category 12 - End of Life Treatment of Sold Products,SAP Ariba,S/4HANA Procurement,CC-191,Paracetamol API,Pharmaceuticals,2026,United Kingdom,Solaris Park Site,Pinnacle Chemicals plc,Quantum Excipients Ltd,SUP-10035,984 Industrial Way,Stonegate,Switzerland,Raw Materials,Active Pharmaceutical Ingredients,Small Molecule API,Small Molecule API - Grade Premium,0.4797,0.4797,Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),Paracetamol API Supplier Submission,Logistics,Freight,Road,Paracetamol API,MAT-20132,359.3441,,,,
Category 4 - Upstream Transportation and Distribution,S/4HANA Procurement,Coupa,CC-195,Fermentation Batch Service,Vaccines,2025,United Kingdom,Kingsley Site,Everline Group,BrightLab Vial Co.,SUP-10016,754 Industrial Way,Stonegate,United States,Contract Manufacturing,Drug Substance CMO,Fermentation Services,Fermentation Services - Grade Std,1.4066,1.4066,Fermentation Services - Prior Year EF,Fermentation Batch Service Supplier Submission,Logistics,Freight,Road,Fermentation Batch Service,MAT-20083,144.6266,102.82,litre,105046.39,94651.9
Category 2 - Capital Goods,Coupa,SAP Ariba,CC-111,Fermentation Batch Service,Consumer Healthcare,2026,Switzerland,Rivermill Site,Everline Group,BrightLab Vial Co.,SUP-10016,202 Commerce Rd,Stonegate,United States,Contract Manufacturing,Drug Substance CMO,Fermentation Services,Fermentation Services - Grade Std,1.4066,1.4066,Fermentation Services - Prior Year EF,Fermentation Batch Service Supplier Submission,Logistics,Freight,Road,Fermentation Batch Service,MAT-20083,125.788,89.427,kg,88929.46,86107.38
Category 5 - Waste Generated in Operations,Coupa,S/4HANA Procurement,CC-111,Enteric Coating Blend,Pharmaceuticals,2025,United Kingdom,Kingsley Site,BrightLab Corp,Cascade Glass Works,SUP-10021,910 Factory Lane,Harborview,Poland,Raw Materials,Excipients,Coatings,Coatings - Grade B,516.7946,516.7946,Enteric Coating Blend EF - Bluepeak Glass Works,Enteric Coating Blend Supplier Submission,Services,Professional Services,Testing,Enteric Coating Blend,MAT-20004,87998.7509,170.278,unit,163359.01,180783.04
Category 4 - Upstream Transportation and Distribution,Coupa,Coupa,CC-194,Enteric Coating Blend,Specialty Care,2026,Ireland,Meadowbrook Site,BrightLab Corp,Cascade Glass Works,SUP-10021,334 Harbor Ave,Harborview,Poland,Raw Materials,Excipients,Coatings,Coatings - Grade B,516.7946,516.7946,Enteric Coating Blend EF - Bluepeak Glass Works,Enteric Coating Blend Supplier Submission,Services,Professional Services,Testing,Enteric Coating Blend,MAT-20004,108975.9605,210.869,kg,222173.85,202564.1
Category 1 - Purchased Goods and Services,S/4HANA Procurement,S/4HANA Procurement,CC-113,Sodium Benzoate,Pharmaceuticals,2025,Switzerland,Rivermill Site,Pinnacle Chemicals plc,Quantum Excipients Ltd,SUP-10035,940 Factory Lane,Stonegate,Switzerland,Raw Materials,Excipients,Preservatives,Preservatives - Grade Std,22.8117,22.8117,Preservatives - Prior Year EF,Sodium Benzoate Supplier Submission,Indirect Materials,MRO,Consumables,Sodium Benzoate,MAT-20071,6503.1366,285.079,tonne,280345.32,265277.46
Category 12 - End of Life Treatment of Sold Products,S/4HANA Procurement,SAP Ariba,CC-120,Sodium Benzoate,Consumer Healthcare,2026,Belgium,Rivermill Site,Pinnacle Chemicals plc,Quantum Excipients Ltd,SUP-10035,415 Commerce Rd,Stonegate,Switzerland,Raw Materials,Excipients,Preservatives,Preservatives - Grade Std,22.8117,22.8117,Preservatives - Prior Year EF,Sodium Benzoate Supplier Submission,Indirect Materials,MRO,Consumables,Sodium Benzoate,MAT-20071,6881.9933,301.687,tonne,275070.57,277146.78
Category 5 - Waste Generated in Operations,S/4HANA Procurement,S/4HANA Procurement,CC-199,Stretch Pallet Wrap,Specialty Care,2025,Belgium,Northfield Site,NovaChem Holdings,Everline Glass Works,SUP-10032,542 Commerce Rd,Oakhaven,Ireland,Packaging Materials,Tertiary Packaging,Pallet Wrap,Pallet Wrap - Grade Premium,0.0736,0.0736,Spend EF Everline Glass Works v3,Stretch Pallet Wrap Supplier Submission,Indirect Materials,MRO,Spare Parts,Stretch Pallet Wrap,MAT-20082,37.3237,,,,
Category 5 - Waste Generated in Operations,S/4HANA Procurement,S/4HANA Procurement,CC-111,Stretch Pallet Wrap,Pharmaceuticals,2026,United Kingdom,Fenwick Site,NovaChem Holdings,Everline Glass Works,SUP-10032,583 Commerce Rd,Oakhaven,Ireland,Packaging Materials,Tertiary Packaging,Pallet Wrap,Pallet Wrap - Grade Premium,0.0736,0.0736,Spend EF Everline Glass Works v3,Stretch Pallet Wrap Supplier Submission,Indirect Materials,MRO,Spare Parts,Stretch Pallet Wrap,MAT-20082,42.7096,,,,
Category 5 - Waste Generated in Operations,Coupa,S/4HANA Procurement,CC-143,Microcrystalline Cellulose,Specialty Care,2025,Belgium,Meadowbrook Site,Quantum Holdings,Ferrolux Manufacturing Co.,SUP-10008,825 Commerce Rd,Harborview,China,Raw Materials,Excipients,Binders & Fillers,Binders & Fillers - Grade A,442.8806,442.8806,Microcrystalline Cellulose EF - Meridian Labs,Microcrystalline Cellulose Supplier Submission,Services,Professional Services,Testing,Microcrystalline Cellulose,MAT-20135,101656.1556,229.534,tonne,250658.62,207981.01
Category 4 - Upstream Transportation and Distribution,Coupa,SAP Ariba,CC-191,Microcrystalline Cellulose,Pharmaceuticals,2026,India,Bridgeholm Site,Quantum Holdings,Ferrolux Manufacturing Co.,SUP-10008,906 Industrial Way,Harborview,China,Raw Materials,Excipients,Binders & Fillers,Binders & Fillers - Grade A,442.8806,442.8806,Microcrystalline Cellulose EF - Meridian Labs,Microcrystalline Cellulose Supplier Submission,Services,Professional Services,Testing,Microcrystalline Cellulose,MAT-20135,120534.827,272.161,litre,263977.02,252823.85
Category 4 - Upstream Transportation and Distribution,Coupa,Coupa,CC-157,Aseptic Fill & Finish Service,Specialty Care,2025,China,Fenwick Site,Sterling Industries,Meridian Labs,SUP-10033,43 Industrial Way,Millbridge,Germany,Contract Manufacturing,Drug Product CMO,Fill & Finish,Fill & Finish - Grade A,552.7108,552.7108,Aseptic Fill & Finish Service EF - Trueform Polymer Group,Aseptic Fill & Finish Service Supplier Submission,Logistics,Freight,Road,Aseptic Fill & Finish Service,MAT-20085,4453.7436,8.058,unit,7830.14,7926.67
Category 12 - End of Life Treatment of Sold Products,S/4HANA Procurement,Coupa,CC-155,Aseptic Fill & Finish Service,Specialty Care,2026,United States,Solaris Park Site,Sterling Industries,Meridian Labs,SUP-10033,37 Industrial Way,Millbridge,Germany,Contract Manufacturing,Drug Product CMO,Fill & Finish,Fill & Finish - Grade A,552.7108,552.7108,Aseptic Fill & Finish Service EF - Trueform Polymer Group,Aseptic Fill & Finish Service Supplier Submission,Logistics,Freight,Road,Aseptic Fill & Finish Service,MAT-20085,4703.0162,8.509,tonne,9312.34,8738.0
Category 5 - Waste Generated in Operations,S/4HANA Procurement,Coupa,CC-144,Sodium Benzoate,Specialty Care,2025,China,Kingsley Site,BrightLab Corp,Cascade Glass Works,SUP-10021,850 Commerce Rd,Harborview,Poland,Raw Materials,Excipients,Preservatives,Preservatives - Grade Std,0.5954,0.5954,Spend EF Cascade Glass Works v5,Sodium Benzoate Supplier Submission,Services,Professional Services,Testing,Sodium Benzoate,MAT-20104,63.1044,,,,
Category 5 - Waste Generated in Operations,S/4HANA Procurement,SAP Ariba,CC-153,Sodium Benzoate,Vaccines,2026,Belgium,Kingsley Site,BrightLab Corp,Cascade Glass Works,SUP-10021,24 Industrial Way,Harborview,Poland,Raw Materials,Excipients,Preservatives,Preservatives - Grade Std,0.5954,0.5954,Spend EF Cascade Glass Works v5,Sodium Benzoate Supplier Submission,Services,Professional Services,Testing,Sodium Benzoate,MAT-20104,53.4256,,,,
Category 12 - End of Life Treatment of Sold Products,S/4HANA Procurement,SAP Ariba,CC-127,Comparator Drug Batch,Pharmaceuticals,2025,Ireland,Fenwick Site,Cascade Polymer Group,Corex Materials Ltd,SUP-10006,125 Harbor Ave,Stonegate,Belgium,Lab & Clinical Supplies,Clinical Trial Materials,Comparator Drugs,Comparator Drugs - Grade B,4.5033,4.5033,Comparator Drugs - Database Default EF,Comparator Drug Batch Supplier Submission,Indirect Materials,Lab Supplies,Reagents,Comparator Drug Batch,MAT-20130,1294.3925,287.432,unit,309403.71,284397.67
Category 12 - End of Life Treatment of Sold Products,Coupa,Coupa,CC-109,Comparator Drug Batch,Pharmaceuticals,2026,United States,Ashford Site,Cascade Polymer Group,Corex Materials Ltd,SUP-10006,829 Industrial Way,Stonegate,Belgium,Lab & Clinical Supplies,Clinical Trial Materials,Comparator Drugs,Comparator Drugs - Grade B,4.5033,4.5033,Comparator Drugs - Database Default EF,Comparator Drug Batch Supplier Submission,Indirect Materials,Lab Supplies,Reagents,Comparator Drug Batch,MAT-20130,1223.8258,271.762,unit,296260.71,275029.64
Category 12 - End of Life Treatment of Sold Products,Coupa,S/4HANA Procurement,CC-128,Cold Storage - Warehouse Pallet Slot,Vaccines,2025,Singapore,Clearwater Site,Cascade Polymer Group,Ferrolux Glass Works,SUP-10014,506 Industrial Way,Oakhaven,Singapore,Logistics,Cold Chain,Cold Storage,Cold Storage - Grade B,2.6817,2.6817,Cold Storage - Legacy Supplier EF,Cold Storage - Warehouse Pallet Slot Supplier Submission,Services,Contract Manufacturing,Synthesis,Cold Storage - Warehouse Pallet Slot,MAT-20058,580.6122,216.509,unit,197295.79,204170.28
Category 12 - End of Life Treatment of Sold Products,S/4HANA Procurement,Coupa,CC-142,Cold Storage - Warehouse Pallet Slot,Specialty Care,2026,Singapore,Eastgate Site,Cascade Polymer Group,Ferrolux Glass Works,SUP-10014,608 Commerce Rd,Oakhaven,Singapore,Logistics,Cold Chain,Cold Storage,Cold Storage - Grade B,2.6817,2.6817,Cold Storage - Legacy Supplier EF,Cold Storage - Warehouse Pallet Slot Supplier Submission,Services,Contract Manufacturing,Synthesis,Cold Storage - Warehouse Pallet Slot,MAT-20058,651.3635,242.892,unit,238229.06,255480.57
Category 2 - Capital Goods,Coupa,SAP Ariba,CC-105,Cold Storage - Warehouse Pallet Slot,Specialty Care,2025,Poland,Bridgeholm Site,Sterling Industries,Cascade Packaging Ltd,SUP-10034,352 Factory Lane,Millbridge,Poland,Logistics,Cold Chain,Cold Storage,Cold Storage - Grade B,2.4379,2.4379,Cold Storage - Database Default EF,Cold Storage - Warehouse Pallet Slot Supplier Submission,Indirect Materials,MRO,Consumables,Cold Storage - Warehouse Pallet Slot,MAT-20124,1119.2058,459.086,unit,433224.2,423349.19
Category 5 - Waste Generated in Operations,S/4HANA Procurement,Coupa,CC-164,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,2026,China,Clearwater Site,Sterling Industries,Cascade Packaging Ltd,SUP-10034,286 Harbor Ave,Millbridge,Poland,Logistics,Cold Chain,Cold Storage,Cold Storage - Grade B,2.4379,2.4379,Cold Storage - Database Default EF,Cold Storage - Warehouse Pallet Slot Supplier Submission,Indirect Materials,MRO,Consumables,Cold Storage - Warehouse Pallet Slot,MAT-20124,1236.8344,507.336,litre,505809.78,541003.14
Category 4 - Upstream Transportation and Distribution,S/4HANA Procurement,SAP Ariba,CC-110,Prefilled Syringe 2.25ml,Specialty Care,2025,India,Fenwick Site,Meridian Industries plc,Cascade Materials Ltd,SUP-10030,701 Harbor Ave,Riverton,Poland,Packaging Materials,Primary Packaging,Prefilled Syringes,Prefilled Syringes - Grade B,1.0852,1.0852,Spend EF Cascade Materials Ltd v2,Prefilled Syringe 2.25ml Supplier Submission,Services,Contract Manufacturing,Fill & Finish,Prefilled Syringe 2.25ml,MAT-20043,212.4269,,,,
Category 2 - Capital Goods,S/4HANA Procurement,S/4HANA Procurement,CC-179,Prefilled Syringe 2.25ml,Specialty Care,2026,United States,Bridgeholm Site,Meridian Industries plc,Cascade Materials Ltd,SUP-10030,726 Factory Lane,Riverton,Poland,Packaging Materials,Primary Packaging,Prefilled Syringes,Prefilled Syringes - Grade B,1.0852,1.0852,Spend EF Cascade Materials Ltd v2,Prefilled Syringe 2.25ml Supplier Submission,Services,Contract Manufacturing,Fill & Finish,Prefilled Syringe 2.25ml,MAT-20043,260.0523,,,,
Category 2 - Capital Goods,Coupa,Coupa,CC-141,Ethanol (Pharma Grade),Pharmaceuticals,2025,Singapore,Rivermill Site,NovaChem Holdings,Solara Manufacturing Co.,SUP-10017,809 Factory Lane,Riverton,Ireland,Raw Materials,Solvents,Organic Solvents,Organic Solvents - Grade A,0.3353,0.3353,Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),Ethanol (Pharma Grade) Supplier Submission,Direct Materials,Packaging,Primary Pack,Ethanol (Pharma Grade),MAT-20039,31.5451,,,,
Category 4 - Upstream Transportation and Distribution,SAP Ariba,Coupa,CC-178,Ethanol (Pharma Grade),Specialty Care,2026,India,Fenwick Site,NovaChem Holdings,Solara Manufacturing Co.,SUP-10017,74 Harbor Ave,Riverton,Ireland,Raw Materials,Solvents,Organic Solvents,Organic Solvents - Grade A,0.3353,0.3353,Raw Materials - Spend-Based (EEIO) 2026 (Alt Method),Ethanol (Pharma Grade) Supplier Submission,Direct Materials,Packaging,Primary Pack,Ethanol (Pharma Grade),MAT-20039,31.1896,,,,
